	country	designation		points	price	province	variety		winery	
7203	US	Rosé of	90	25	California	Pinot Noir	Stolo	
7204	US	La Rinconada Vineyard	90	65	California	Pinot Noir	Testarossa	
7205	Austria	Austrian Cherry	90	14	Niederösterreich	Zweigelt	The Dot	
7206	US	Doyle Family Vineyards Reserve	90	25	New York	Blaufränkisch	Timothy Moore	
7207	US	Estate	90	33	Washington	Syrah	Amavi	
7208	Spain	Blanco Fermentado en Barrica	90	33	Northern Spain	Viura	Baigorri	
7209	US	Attila's Selection	90	38	California	Zinfandel	Buena Vista	
7210	Italy		90	25	Northeastern Italy	Sauvignon	Castello di Spessa	
7211	US	Scarlett	90	38	California	Pinot Noir	Challen	
7212	Italy		90		Southern Italy	Fiano	Le Masciare	
7213	US	Right Bank	90	42	Oregon	Pinot Noir	Left Coast Cellars	
7214	France	Domaine Aureillan	90	17	Provence	Rosé	Les Maîtres Vignerons de la Presqu'île de Saint-Tropez	
7215	US	Old Hat	90	45	California	Red Blend	Lone Madrone	
7216	US	The Will	90	45	California	Red Blend	Lone Madrone	
7217	US	La Mezcla Roja	90	30	California	Red Blend	Lone Madrone	
7218	France	Aix	90	19	Provence	Rosé	Maison Saint Aix	
7219	US	The Harrison	90		Oregon	Pinot Noir	Marion-Field	
7220	US	Marshall Davis Vineyard	90	36	Oregon	Pinot Noir	Marshall Davis	
7221	France	Cuvée 1907	90	16	Southwest France	Tannat-Cabernet	Producteurs Plaimont	
7222	US	Estate	90	42	California	Petite Sirah	Viszlay Vineyards	
7223	Austria		90	18	Wiener Gemischter Satz	White Blend	Zahel	
7224	Italy		90	24	Northeastern Italy	White Blend	Zuani	
7225	France		90	22	Provence	Provence red blend	Château Grand Boise	
7226	France	Rosé de Léoube	90	25	Provence	Rosé	Château Léoube	
7227	France	Cuvée R	90	25	Provence	Rosé	Château Roquefeuille	
7228	France	Cuvée la Chapelle de Sainte Roseline	90	35	Provence	Rosé	Château Sainte Roseline	
7229	US		90	38	California	Syrah	Crux	
7230	Spain	Abat Domènech	86	49	Catalonia	Red Blend	Cesca Vicent	
7231	France	Presto	86		Southwest France	Sauvignon Blanc-Sauvignon Gris	Domaine Seailles	
7232	US		86	30	California	Petit Verdot	Donati	
7233	US		86	28	California	Cabernet Sauvignon	Fortune 1621	
7234	US		86	30	California	Merlot	Rippey	
7235	Chile	Reserve	86	10	Curicó Valley	Merlot	Santa Alba	
7236	Chile	U Estate Grown	86	10	Maipo Valley	Sauvignon Blanc	Undurraga	
7237	US	Vineyard Select	86	32	Oregon	Pinot Noir	Gresser	
7238	Portugal	Segredos de São Miguel	86	7	Alentejano	Portuguese Red	Herdade de São Miguel	
7239	US		86	22	California	Chardonnay	Hess	
7240	US		86	13	Oregon	Pinot Gris	Kudos	
7241	Spain		86	9	Northern Spain	Rosado	Marqués de Cáceres	
7242	US	Reserve	86	26	California	Cabernet Sauvignon	One Leaf	
7243	Germany	Dhroner Hofberger Auslese	86	23	Mosel	Riesling	Bollig-Lehnert	
7244	Spain	Albacea	86	11	Levante	Monastrell	Juan Gil	
7245	Chile	Reserva Estate Bottled	86	15	Maule Valley	Carmenère	Luma Chequén	
7246	US	Perli Vineyards	86	42	California	Syrah	Donkey & Goat	
7247	US	Estate	86	34	California	Chardonnay	Nicholson Ranch	
7248	US		86	28	California	Cabernet Sauvignon	Waterstone	
7249	France	Les Clavelles	85	17	Rhône Valley	Viognier	Domaine Brusset	
7250	France		85	16	Rhône Valley	Rhône-style Red Blend	Grand Nicolet	
7251	Spain		85	12	Northern Spain	Tempranillo	Cota 585	
7252	France		85	18	Southwest France	Malbec-Merlot	Château les Hauts d'Aglan	
7253	Italy	Jassarte	85	60	Tuscany	Red Blend	Guado al Melo	
7254	Spain	Monasterio de Palazuelos	85	15	Northern Spain	Verdejo	De Alberto	
7255	France		85	18	Southwest France	Sauvignon Blanc	Domaine D'en Ségur	
7256	Spain	Cune	85	14	Northern Spain	Rosado	CVNE	
7257	France	Cubik	85		Southwest France	Merlot	Domaine Seailles	
7258	US		85	18	Oregon	Pinot Noir	Eola Hills	
7259	US	Family Reserve	85	35	California	Cabernet Franc	Joullian	
7260	US		87	18	Oregon	Pinot Gris	Joel Gott	
7261	US		87	15	California	Zinfandel	LangeTwins	
7262	Italy	Enrico IV Bianco	87	25	Sicily & Sardinia	White Blend	Cantine Valenti	
7263	Italy	Poiano	87	13	Sicily & Sardinia	Inzolia	Curto	
7264	Italy	S	87	22	Southern Italy	Falanghina	Di Meo	
7265	France	La Grande Cuvée	87	12	Bordeaux	Rosé	Dourthe	
7266	US	Wildcat Vineyard	87	49	California	Pinot Noir	MacPhail	
7267	France	Rosé de Merlot Les Grains	87	10	France Other	Merlot	Marrenon	
7268	US		87	16	Oregon	Viognier	Melrose	
7269	US	East Side Vineyards	87	15	California	Sauvignon Blanc	Pedroncelli	
7270	US		87	15	California	Sauvignon Blanc	R35	
7271	US	Hebron Bloc	87	27	Oregon	Grenache	Reustle	
7272	US	Winemaker's Reserve	87	39	Oregon	Syrah	Reustle	
7273	US	Logan Sleepy Hollow Vineyard	87	28	California	Chardonnay	Talbott	
7274	France		87		Bordeaux	Rosé	Château Cantelaudette	
7275	US	Wooldridge Creek Vineyard	87	32	Oregon	Merlot	Soléna	
7276	Italy	F	87	13	Southern Italy	Falanghina	Taba	
7277	France		87	15	Alsace	Pinot Blanc	Wolfberger	
7278	Italy	Azisa	87		Sicily & Sardinia	Grillo	Zisola	
7279	Italy	Evrò	87		Sicily & Sardinia	Inzolia	Cantine Rallo	
7280	Italy		87	20	Sicily & Sardinia	Catarratto	Castellucci Miano	
7281	France		87	32	Burgundy	Chardonnay	Chanson Père et Fils	
7282	France		87	25	Burgundy	Chardonnay	Chanson Père et Fils	
7283	France	Les Princes Abbés	87	15	Alsace	Pinot Blanc	Domaines Schlumberger	
7284	France	Les Princes Abbés	87	20	Alsace	Pinot Noir	Domaines Schlumberger	
7285	France	Steinbach	87	50	Alsace	Pinot Noir	Joseph Cattin	
7286	France		87	17	Alsace	Pinot Blanc	Joseph Cattin	
7287	France		87	15	Alsace	Pinot Blanc	Joseph Fritsch	
7288	US	Rosé of	87	22	Oregon	Pinot Noir	Left Coast Cellars	
7289	Italy		87	18	Sicily & Sardinia	Grillo	Feudo Maccari	
7290	US	Outcrop Estate	93	55	Oregon	Pinot Noir	The Eyrie Vineyards	
7291	US	Winemaker's Reserve	93	45	Oregon	Pinot Noir	Trinity Vineyards	
7292	New Zealand	Hunting Hill	93	45	Kumeu	Chardonnay	Kumeu River	
7293	US		93	38	Oregon	Chardonnay	Winderlea	
7294	France	Zinnkoepflé Grand Cru	93	35	Alsace	Gewürztraminer	Domaine Léon Boesch	
7295	France	Clos Windsbuhl Hunawihr	93	80	Alsace	Gewürztraminer	Domaine Zind-Humbrecht	
7296	Italy	Arcurìa Rosso	93	46	Sicily & Sardinia	Nerello Mascalese	Graci	
7297	France	Pfersigberg Grand Cru	93		Alsace	Pinot Gris	Henri Ehrhart	
7298	US	Hunter's Cuvee	93	40	California	Pinot Noir	Holman Ranch	
7299	Spain	Clon de la Familia	93	450	Northern Spain	Tinto Fino	Emilio Moro	
7300	Germany	Dürkheimer Abtsfronhof Trocken	93	28	Pfalz	Riesling	Fitz-Ritter	
7301	Italy	Feudo Rosso	93	58	Sicily & Sardinia	Red Blend	Girolamo Russo	
7302	US	La Cruz Vineyard	93	33	California	Chardonnay	Keller Estate	
7303	Italy	Fontanelle	93	29	Sicily & Sardinia	Nero d'Avola	Curto	
7304	Israel	Oak Aged	93	25	Samson	Petite Sirah	Dalton	
7305	US	Estate Justina	93	85	Oregon	Pinot Noir	Alloro	
7306	Spain	Viña Pomal Alto de la Caseta	93	80	Northern Spain	Tempranillo	Bodegas Bilbainas	
7307	Germany	Kaseler Dominikanerberg Beerenauslese	93	68	Mosel	Riesling	C. von Nell-Breuning	
7308	US	Mills Vineyard	93	54	California	Pinot Noir	Calera	
7309	US	Little Sister	93	65	California	Cabernet Sauvignon	Wallis Family Estate	
7310	Italy	Santo Spirito Rosso	93	40	Sicily & Sardinia	Red Blend	Tenuta delle Terre Nere	
7311	US	Wanderlust	93	35	California	G-S-M	Zenaida Cellars	
7312	US		93	78	California	Chardonnay	Hanzell	
7313	Spain	Aro	93	195	Northern Spain	Tempranillo Blend	Muga	
7314	Argentina	Finca Bella Vista	93	140	Mendoza Province	Malbec	Achaval-Ferrer	
7315	US	Estate	93	28	Oregon	Chardonnay	Alloro	
7316	France	Seppi Landmann Zinnkoepflé Grand Cru	93	78	Alsace	Gewürztraminer	Domaine Rieflé-Landmann	
7317	US	Black Label	93	75	California	Pinot Noir	Dragonette	
7318	France	Sonnenglanz Grand Cru	93	48	Alsace	Gewürztraminer	Domaine Bott-Geyl	
7319	Germany	Kiedrich Gräfenberg Beerenauslese	93	365	Rheingau	Riesling	Robert Weil	
7320	Italy		92	50	Tuscany	White Blend	Castello di Selvole	
7321	Spain	Mas Mallola	92	50	Catalonia	Red Blend	Marco Abella	
7322	Spain	Reserva	92	48	Northern Spain	Tempranillo	Contino	
7323	Spain	Magnum Gran Reserva Brut Nature	92	150	Catalonia	Sparkling Blend	Agustí Torelló Mata	
7324	Spain	Conde de los Andes	92	50	Northern Spain	Tempranillo	Bodegas Muriel	
7325	Spain	Summa Varietalis Estate Bottled	92	30	Central Spain	Red Blend	Marques de Griñon	
7326	Spain	Cartoixa	92	40	Catalonia	Red Blend	Scala Dei	
7327	Spain	Bembibre	92		Northern Spain	Mencía	Dominio de Tares	
7328	France		92		Bordeaux	Bordeaux-style Red Blend	Château Moulin Saint-Georges	
7329	France		92		Bordeaux	Bordeaux-style Red Blend	Château Vieux Robin	
7330	France		92	60	Bordeaux	Bordeaux-style Red Blend	Clos Badon-Thunevin	
7331	Italy		92	55	Tuscany	Sangiovese	Collosorbo	
7332	France	Saering Grand Cru	92	30	Alsace	Riesling	Domaines Schlumberger	
7333	US	Sisu	92	45	California	Rhône-style Red Blend	kukkula	
7334	Italy	Paleo Rosso	92	110	Tuscany	Cabernet Franc	Le Macchiole	
7335	US	Stolpman Vineyard	92	30	California	Roussanne	Jaffurs	
7336	France	Kaefferkopf Grand Cru Vieilles Vignes	92	54	Alsace	Riesling	Jean-Baptiste Adam	
7337	France	Kaefferkopf Grand Cru Vieilles Vignes	92	54	Alsace	Gewürztraminer	Jean-Baptiste Adam	
7338	France	Wineck-Schlossberg Grand Cru	92	34	Alsace	Riesling	Jean-Marc Bernhard	
7339	US		92	43	California	Viognier	Darioush	
7340	France		92	25	Bordeaux	Bordeaux-style Red Blend	Château Beaumont	
7341	France		92	65	Bordeaux	Bordeaux-style Red Blend	Château Couhins-Lurton	
7342	France		92		Bordeaux	Bordeaux-style Red Blend	Château Daugay	
7343	France		92	12	Bordeaux	Bordeaux-style Red Blend	Château Devise d'Ardilley	
7344	France	Le Clarence de Haut-Brion	92	156	Bordeaux	Bordeaux-style Red Blend	Château Haut-Brion	
7345	France	La Chapelle de la Mission Haut-Brion	92	49	Bordeaux	Bordeaux-style Red Blend	Château La Mission Haut-Brion	
7346	US	Estate	92	18	Oregon	Pinot Gris	Carabella	
7347	Italy		92	80	Tuscany	Sangiovese	Casanuova delle Cerbaie	
7348	US	Estate Grown	92	42	California	Syrah	Belden Barns	
7349	US	Signature Selection	92	18	California	Syrah	Bianchi	
7350	US	Unmasked	87	46	California	Syrah	Sonkin Cellars	
7351	Italy		87	50	Tuscany	Sangiovese	Agostina Pieri	
7352	US	1866 Reserve	87	32	New York	Riesling	Bellangelo	
7353	Moldova	Dor Traminer-Chardonnay	87	9	Moldova	White Blend	Bostavan	
7354	Italy		87	13	Tuscany	Red Blend	Cala de' Poeti	
7355	France	Brut Rosé	87	20	Burgundy	Sparkling Blend	Charles Duret	
7356	US	Pure	87	20	California	Chardonnay	Clos La Chance	
7357	Slovenia	Damski	87	24	Goriska Brda	Rosé	Erzetič	
7358	Italy		87	19	Tuscany	Red Blend	Fattoria di Valiano	
7359	Italy	Riserva	87	30	Tuscany	Red Blend	Mangiacane	
7360	Italy	Riserva	87	38	Tuscany	Red Blend	Le Fonti	
7361	Italy	Riserva	87	30	Tuscany	Red Blend	Podere Ciona	
7362	Italy		87	19	Tuscany	Red Blend	Tenuta di Lilliano	
7363	Italy	Vallocaia Riserva	87	46	Tuscany	Red Blend	Bindella	
7364	Italy		87	18	Tuscany	Red Blend	Casaloste	
7365	Italy		87	14	Tuscany	Red Blend	Fattoria di Casalbosco	
7366	France	Les Celliers de la Pauline	87	28	Loire Valley	Sauvignon Blanc	Eric Louis	
7367	US	Kaiser Vineyard Reserve	87	15	New York	Chardonnay	Fox Run	
7368	US		87	21	New York	Lemberger	Fox Run	
7369	France	Les Thureaux	87	20	Loire Valley	Sauvignon Blanc	Joseph Mellot	
7370	Canada	McLean Creek Road Vineyard	87	30	British Columbia	Chardonnay	Meyer Family Vineyards	
7371	US	Ciel du Cheval Vineyard	87	35	Washington	Merlot	:Nota Bene	
7372	France		87	25	Loire Valley	Sauvignon Blanc	Paul Prieur et Fils	
7373	Canada	Oldfield Series	87	33	British Columbia	Pinot Noir	Tinhorn Creek	
7374	US		87	24	California	Rhône-style White Blend	Treana	
7375	Spain	Legado de Farro	87	21	Northern Spain	Godello	Vinos de Arganza	
7376	US		87	10	Washington	Chardonnay	Whispering Tree	
7377	Turkey	Casaba	87	16	Turkey	Cabernet Sauvignon-Merlot	Yazgan	
7378	France	1895	87	30	Rhône Valley	Grenache	Château Maucoil	
7379	US	Mi Pasión	87	20	California	Rosé	Feliz Noche	
7380	France	Bélingard Blanc	87	11	Southwest France	Bordeaux-style White Blend	Château Bélingard	
7381	US		87	25	Oregon	Pinot Noir	Cummins Road	
7382	Germany	Bernkasteler Badstube Spätlese	87	26	Mosel	Riesling	Dr. Pauly Bergweiler	
7383	Italy	Colarej	87		Piedmont	Nebbiolo	Gemma	
7384	US		87	30	Oregon	Malbec	Ledger David	
7385	Germany	Piesporter Michelsberg Kabinett	87	13	Mosel	Riesling	Leonard Kreusch	
7386	Italy		87		Piedmont	Barbera	Luigi Voghera	
7387	Portugal	Flor de Maio Branco	87	9	Alentejano	Portuguese White	Magnum Vinhos	
7388	US		87	16	Oregon	Pinot Gris	Mahonia	
7389	Argentina	Gran Mascota	87	23	Mendoza Province	Cabernet Sauvignon	Mascota	
7390	Germany	Red Rock Dry Gutsabfüllung	87	24	Nahe	Riesling	Mathern	
7391	Italy	La Ribelle	87	20	Piedmont	Barbera	Montalbera	
7392	US		87	15	California	Chardonnay	Myka	
7393	Italy		87	23	Piedmont	Barbera	Negretti	
7394	Spain		87	18	Galicia	Albariño	Nora	
7395	Italy	Mervisano	87	35	Piedmont	Barbera	Orlando Abrigo	
7396	Italy	Armujan	87	28	Piedmont	Barbera	Podere Ruggeri Corsini	
7397	Argentina	Trumpeter	87	11	Mendoza Province	Chardonnay	Rutini	
7398	Portugal	Terra d'Alter	87	14	Alentejano	Alvarinho	Terras de Alter	
7399	Spain	Xibrana Crianza	87	19	Catalonia	Red Blend	Vicente Gandia	
7400	Germany	HD	87	16	Mosel	Riesling	Von Schleinitz	
7401	Portugal	Pegos Claros Colheita	87	15	Palmela	Castelão	Wines & Winemakers	
7402	Italy	Gattera	87		Piedmont	Nebbiolo	Alessandro Veglio	
7403	Italy	Monvijè	87		Piedmont	Nebbiolo	Bel Colle	
7404	Italy	Sabri	87	21	Piedmont	Barbera	Beni di Batasiolo	
7405	US	Precis Unoaked	87	22	California	Chardonnay	Bernardus	
7406	US		87	39	California	Syrah	Brecon Estate	
7407	US	Estate Bottled	87	25	California	Pinot Noir	Husch	
7408	Argentina	Enamore	87	27	Mendoza Province	Red Blend	Bodega Renacer	
7409	Australia	Bicheno Single Site	87	65	Tasmania	Pinot Noir	Dalrymple	
7410	Italy	I Tarai	87	25	Veneto	Garganega	Corte Moschina	
7411	US	Appellation Series	87	35	California	Pinot Noir	Cru	
7412	Portugal	Grilos Branco	87		Dão	Portuguese White	Dão Sul	
7413	France		87		Southwest France	Malbec	Domaine du Théron	
7414	France	Saint-Martin	87		Burgundy	Chardonnay	Domaine Laroche	
7415	Chile	Amelia Limited Release Las Petras Vineyard	87	35	Casablanca Valley	Chardonnay	Concha y Toro	
7416	US	Super Alamedan	87	25	California	Red Blend	Rock Wall	
7417	US	Kemp Vineyard Folded Rock	87	45	California	Syrah	Sanglier Cellars	
7418	US		87	16	California	Sauvignon Blanc	Sivas-Sonoma	
7419	US	Lot #11	87	16	California	Merlot	Tangley Oaks	
7420	Italy		87	14	Northeastern Italy	Pinot Grigio	Tolloy	
7421	US	Reserve	87	34	California	Pinot Noir	Windsor Oaks	
7422	US	Cuccio	87	29	California	Zinfandel	Pech Merle	
7423	Italy	Rohracker	87	17	Northeastern Italy	Riesling	Peter Zemmer	
7424	US		87	13	California	Cabernet Sauvignon	Baron Herzog	
7425	Italy		87	18	Northeastern Italy	Pinot Grigio	Elena Walch	
7426	Italy	Danieli	87	17	Veneto	Garganega	Fattori	
7427	US		87	24	Oregon	Pinot Noir	Grochau	
7428	Italy		87	18	Northeastern Italy	Pinot Bianco	Kössler	
7429	Germany	Kabinett	87	15	Pfalz	Riesling	Gerd Anselmann	
7430	France		87		Burgundy	Chardonnay	Jean-Claude Boisset	
7431	Italy	Castel Giovanelli	87	50	Northeastern Italy	Sauvignon	Kellerei Kaltern Caldaro	
7432	US	Sierra Madre Vineyard	87	34	California	Pinot Blanc	La Montagne	
7433	US		87	16	California	Gewürztraminer	McNab Ridge	
7434	Portugal	Pátria 10 Years Old	87	30	Port	Port	Messias	
7435	Italy		87	9	Northeastern Italy	Pinot Grigio	Mezzacorona	
7436	Italy		87	20	Northeastern Italy	Pinot Grigio	Niedermayr Josef	
7437	Italy	San Siro Bianco	87	20	Northeastern Italy	White Blend	Pisoni	
7438	US	Premium Limited Edition	87	25	California	Cabernet Sauvignon	Publix	
7439	Chile	Gran Reserva	87	18	Leyda Valley	Pinot Noir	Viña Tarapacá	
7440	US	Winemakers Select Bin #5 Unoaked	83	38	Virginia	Rkatsiteli	Tarara	
7441	US	Costa Rosa	83	27	California	Rosé	Vino Vargas	
7442	Argentina	Estate Bottled	83	13	Mendoza Province	Chardonnay	Pascual Toso	
7443	Argentina		83	13	Mendoza Province	Malbec	Anko	
7444	Portugal	Hera	83	9	Vinho Verde	Rosé	Adega Cooperativa Ponte de Barca	
7445	US	Estate Reserve	83	15	Oregon	Pinot Noir	Dragonfly Creek	
7446	France	La Vallée des Vignes	83		Loire Valley	Sauvignon Blanc	Eric Cottat	
7447	France	Les Moulins du Haut-Lansac	83	21	Bordeaux	Bordeaux-style Red Blend	Château Haut-Lansac	
7448	US		83	16	Virginia	Norton	Molliver Vineyards	
7449	US	Winemakers Select Bin #6 Barrel Aged	83	38	Virginia	Rkatsiteli	Tarara	
7450	Portugal	Fonte da Serrana	83		Alentejano	Portuguese Red	Monte da Ravasqueira	
7451	France	Roquefortissime	83	22	Bordeaux	Bordeaux-style White Blend	Château Roquefort	
7452	Portugal	Portada	83	7	Lisboa	Rosé	DFJ Vinhos	
7453	US	Estate Club	83	18	Virginia	Cabernet Franc	Veramar	
7454	US		83	33	Virginia	Syrah	Greenhill	
7455	US		83	18	Virginia	Viognier	Bluestone	
7456	Portugal		83		Alentejano	Portuguese Red	Monte da Ravasqueira	
7457	Spain	PdM Moncayo	83	12	Northern Spain	Garnacha-Syrah	Pagos del Moncayo	
7458	US	Skins	83	20	Virginia	Rkatsiteli	The Boneyard	
7459	US	Acte 12 of Sixteen Nineteen	83	18	Virginia	Chardonnay	The Williamsburg Winery	
7460	France		83		Bordeaux	Bordeaux-style White Blend	Château Magondeau	
7461	US	La Trovatella	83	26	Virginia	Merlot	Three Fox	
7462	Argentina	Made with Organic Grapes	83	11	Mendoza Province	Cabernet Sauvignon	Santa Julia	
7463	France		83	35	Bordeaux	Bordeaux-style Red Blend	Château Cossieu-Coutelin	
7464	Portugal	Escolha	83	9	Vinho Verde	Portuguese White	Adega Cooperativa Ponte de Barca	
7465	US	Artige	83	11	Arizona	White Blend	Arizona Angel	
7466	Spain	Cune Crianza	82	15	Northern Spain	Tempranillo Blend	CVNE	
7467	Spain	Charm	82	15	Northern Spain	Mencía	Encanto	
7468	US	Winemakers Select Bin 11	82	38	Virginia	Red Blend	Tarara	
7469	US	Vin Doux	82	28	Virginia	Red Blend	Rockgarden	
7470	France		90	14	Provence	Rosé	Domaine la Grand'Vigne	
7471	US	Isabel's Cuvée Gibson Ranch	90	26	California	Rosé	Donkey & Goat	
7472	Austria	Bodenschatz	90	16	Niederösterreich	Zweigelt	Dürnberg	
7473	Spain	Crianza	89	20	Northern Spain	Tempranillo	Tamaral	
7474	US	Luminous	89	18	New York	Riesling	Anthony Nappa	
7475	New Zealand		89	16	Marlborough	Sauvignon Blanc	Tiki Sound	
7476	New Zealand		89		Hawke's Bay	Pinot Noir	Lime Rock	
7477	US	R Is For	89	13	New York	Riesling	Attic Cellar	
7478	Italy	Cruà	89		Southern Italy	Aglianico	Basilisco	
7479	US	1866 Reserve	89	21	New York	Chardonnay	Bellangelo	
7480	US		89	26	Washington	Chardonnay	Browne Family Vineyards	
7481	US		89	30	California	Chardonnay	Koehler	
7482	US		89	15	New York	Chardonnay	Lamoreaux Landing	
7483	France	Château Gabriel	89	17	Provence	Rosé	Les Maîtres Vignerons de la Presqu'île de Saint-Tropez	
7484	France	Cuvée G	89	16	Provence	Rosé	Les Vignobles Gueissard	
7485	New Zealand	Home Block	89	65	Martinborough	Pinot Noir	Martinborough Vineyard	
7486	Italy	Jazz	89	18	Sicily & Sardinia	Red Blend	Paolo Calì	
7487	US		89	17	California	Chardonnay	Santa Barbara Winery	
7488	US	Vitae Springs Vineyard	89	26	Oregon	Pinot Noir	Scenic Valley Farms	
7489	Italy		89	26	Northeastern Italy	Malvasia	Schiopetto	
7490	US	Rincon Point Vineyard	89	35	California	Pinot Noir	South Mountain	
7491	Austria	Blanc	89	19	Burgenland	White Blend	Tinhof	
7492	New Zealand		89		Marlborough	Pinot Gris	Toi Toi	
7493	New Zealand		89	19	New Zealand	Pinot Noir	Vinterra	
7494	France	Château la Moutte	89	32	Provence	Rosé	Vignobles de Saint-Tropez	
7495	Italy		89	27	Northeastern Italy	Sauvignon	Villa Russiz	
7496	US	Skyraider Reserve	89	60	Oregon	Pinot Noir	Vista Hills	
7497	US	Interlude	89	28	Washington	Bordeaux-style Red Blend	Waters	
7498	France	Patricia Ortelli	89	35	Provence	Rosé	Château la Calisse	
7499	France		89	19	Provence	Rosé	Château la Vivonne	
7500	France	Terroir	88	18	Alsace	Riesling	Domaine Zinck	
7501	France		88	21	Alsace	Pinot Blanc	Domaine Zind-Humbrecht	
7502	US	Soliloquy	88	25	California	Sauvignon Blanc	Flora Springs	
7503	US	Blondie Gone Wild Red Hen Vineyard	88	33	California	Chardonnay	Ideology	
7504	US		88	24	California	Pinot Blanc	Longevity	
7505	Italy		88	40	Piedmont	Nebbiolo	Bera	
7506	France	Les Terres Rouges	88		Alsace	Pinot Noir	Boeckel	
7507	US	Reserve	88	48	California	Petit Verdot	Broken Earth	
7508	US	Sidekick	88	28	California	Roussanne-Viognier	Caliza	
7509	France		88	30	Bordeaux	Bordeaux-style Red Blend	Château Clos du Moulin	
7510	France		88	19	Bordeaux	Bordeaux-style Red Blend	Château de Pitray	
7511	France		88	26	Bordeaux	Bordeaux-style Red Blend	Château des Annereaux	
7512	France		88	25	Bordeaux	Bordeaux-style Red Blend	Château Plaisance	
7513	Portugal		88	24	Alentejano	Syrah	Cortes de Cima	
7514	US	White Birch Vineyards	88	18	New York	Pinot Gris	Atwater	
7515	Slovenia		88	30	Vipavska Dolina	Pinela	Batič	
7516	US	Rockpile	88	50	California	Red Blend	St. Francis	
7517	US	Estate Grown	88	25	California	Moscato	St. Supéry	
7518	US		88	26	California	Tempranillo	Uphill Vineyards	
7519	US		88	39	California	Cabernet Sauvignon	V. Sattui	
7520	Bosnia and Herzegovina		88	12	Mostar	Blatina	Winery Čitluk	
7521	US	Marianna	88	45	California	Bordeaux-style Red Blend	Michael Pozzan	
7522	Italy	Gallina	88		Piedmont	Nebbiolo	Negro Giuseppe	
7523	Chile	Antu Mountain Vineyard	88	19	Colchagua Valley	Syrah	Ninquén	
7524	Italy	Sot	88	28	Piedmont	Nebbiolo	Pelassa	
7525	Portugal	Coroa d'Ouro	88	12	Douro	Portuguese Red	Poças	
7526	US		88	25	California	Chardonnay	Arrowood	
7527	Portugal	Serras de Azeitão Seleção do Enólogo	88		Península de Setúbal	Portuguese Red	Bacalhôa Wines of Portugal	
7528	France	Schlossberg Grand Cru	88	30	Alsace	Riesling	Biecher & Schaal	
7529	France	Cuvée Christine	88	40	Provence	Cabernet-Syrah	Château de Palayson	
7530	France	Old Vines	87	12	Languedoc-Roussillon	Rosé	Villa des Anges	
7531	US	Estate	87	30	Oregon	Pinot Noir	Willamette Valley Vineyards	
7532	France	Domaine Hamelin Marly	87	22	Burgundy	Chardonnay	Xavier Flouret	
7533	US		87	13	California	Merlot	Lyeth	
7534	Chile	Amplus	87	18	Leyda Valley	Chardonnay	Santa Ema	
7535	US	The Brat	87	36	California	Rhône-style Red Blend	Prospect 772	
7536	US	Old Vine	87	15	California	Zinfandel	Caricature	
7537	Spain	Sandara Fizz Rosé	87	11	Spain Other	Bobal	Vicente Gandia	
7538	US		87	19	California	Barbera	Enotria	
7539	US		87	10	California	Chardonnay	Bogle	
7540	Chile	Miramar Vineyard	87	50	San Antonio	Syrah	Casa Marin	
7541	France		87	15	Bordeaux	Rosé	Château Chapelle d'Aliénor	
7542	US		87	20	California	Chardonnay	Concannon	
7543	Romania	Legendary Estate Series	87	9	Romania	Merlot	Cramele Recas	
7544	Romania	Legendary Estate Series	87	9	Romania	Sauvignon Blanc	Cramele Recas	
7545	US		87	36	Oregon	Syrah	Schmidt	
7546	Italy		87	18	Southern Italy	Fiano	Donnachiara	
7547	Germany	Mülheimer Sonnenlay Zepplinlabel	87	15	Mosel	Riesling	Max Ferd. Richter	
7548	US	Lot 13 Vineyard	87	28	California	Tempranillo	McCay Cellars	
7549	US	Eakle Ranch	87	32	California	Merlot	Pope Valley Winery	
7550	Italy		87	17	Southern Italy	Falanghina	Vesevo	
7551	US		87	22	California	Chardonnay	Rodney Strong	
7552	France		87		Burgundy	Chardonnay	Domaine Bruno Clair	
7553	France	Fraicheur Gourmande	87	20	Alsace	Sylvaner	Domaine Charles Frey	
7554	France		87	30	Burgundy	Chardonnay	Domaine Faiveley	
7555	France	Cuvée 8	87	35	Alsace	Alsace white blend	Domaine Pfister	
7556	France		87		Alsace	Pinot Blanc	Domaine Sipp-Mack	
7557	Italy	Eughenes Grillo-Zibibbo	87		Sicily & Sardinia	White Blend	Cantine Europa	
7558	Italy		87	20	Southern Italy	Fiano	Agricola Bellaria	
7559	Italy		87		Sicily & Sardinia	Grillo	Baglio del Cristo di Campobello	
7560	US	35th Anniversary	85	50	California	Cabernet Sauvignon	Keenan	
7561	Spain		85	12	Catalonia	Garnacha Blanca	Las Colinas Del Ebro	
7562	Chile	Corralillo	85	20	San Antonio	Chardonnay	Matetic	
7563	Chile	Vitral Reserva	85	13	Chile	Chardonnay	Viña Maipo	
7564	US		85	17	Oregon	Pinot Blanc	Winter's Hill	
7565	US	Wisdom of Wise	85	32	California	Red Blend	Wise Villa	
7566	US	Reserve	85	40	California	Pinot Noir	Bridlewood	
7567	Portugal	Ponte	85	10	Vinho Verde	Loureiro	Adega Cooperativa Ponte de Lima	
7568	Italy	Lagone	85	15	Tuscany	Red Blend	Aia Vecchia	
7569	Spain	Reserva	85	24	Northern Spain	Tempranillo Blend	Señorio de Valdiestro	
